model,run,qid,is_correct
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,1,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,2,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,3,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,4,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,5,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,6,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,7,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,8,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,9,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,10,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,11,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,12,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,13,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,14,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,15,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,16,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,17,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,18,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,19,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,20,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,21,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,22,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,23,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,24,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,25,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,26,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,27,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,28,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,29,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,30,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,31,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,32,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,33,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,34,1
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,35,0
claude-haiku-4-5,claude-haiku-4-5_20260530_212816,36,1
